label,desc
Northern Ireland,Local authorities in Northern Ireland
Scotland,Local authorities in Scotland
South East,Local authorities in South East
Wales,Local authorities in Wales
North West,Local authorities in North West
East Midlands,Local authorities in East Midlands
East of England,Local authorities in East of England
South West,Local authorities in South West
London,Local authorities in London
West Midlands,Local authorities in West Midlands
Yorkshire and The Humber,Local authorities in Yorkshire and The Humber
North East,Local authorities in North East
