local-authority-code,label
GLA,Urban Mainstream
WMCA,Urban Mainstream
GMCA,Urban Mainstream
WYCA,Urban Mainstream
KEN,Urban Mainstream
LCR,Urban Mainstream
CPCA,Urban Mainstream
ESS,Transport/Domestic
SCR,Urban Mainstream
HAM,Transport/Domestic
LAN,Transport/Domestic
SRY,Transport/Domestic
HRT,Urban Mainstream
NECA,Transport/Domestic
BIR,Urban Mainstream
WECA,Urban Mainstream
NFK,Transport/Domestic
STS,Transport/Domestic
WSX,Transport/Domestic
NTCA,Transport/Domestic
NTT,Transport/Domestic
DEV,Transport/Domestic
DBY,Transport/Domestic
LDS,Urban Mainstream
LIN,Transport/Domestic
SFK,Transport/Domestic
LEC,Transport/Domestic
OXF,Transport/Domestic
TVCA,Transport/Domestic
CAM,Transport/Domestic
GLS,Transport/Domestic
GLG,Public sector
NYK,Transport/Domestic
WOR,Transport/Domestic
SHF,Urban Mainstream
WAR,Transport/Domestic
CON,Transport/Domestic
SOM,Transport/Domestic
ESX,Transport/Domestic
MAN,Public sector
BUC,Transport/Domestic
BRD,Urban Mainstream
DUR,Transport/Domestic
EDH,Public sector
WIL,Transport/Domestic
LIV,Urban Mainstream
CMA,Agriculture
BST,Urban Mainstream
KIR,Urban Mainstream
WNT,Transport/Domestic
BNE,Urban Mainstream
BPC,Urban Mainstream
CRY,Urban Mainstream
CHE,Transport/Domestic
DST,Transport/Domestic
COV,Urban Mainstream
FIF,Transport/Domestic
CRF,Urban Mainstream
NWM,Urban Mainstream
LCE,Urban Mainstream
WKF,Urban Mainstream
NNT,Transport/Domestic
CHW,Transport/Domestic
ERY,Transport/Domestic
BFS,Public sector
NLK,Urban Mainstream
EAL,Urban Mainstream
NGM,Public sector
ENF,Urban Mainstream
BRY,Urban Mainstream
TWH,Public sector
WGN,Urban Mainstream
WND,Urban Mainstream
SAW,Urban Mainstream
BEN,Urban Mainstream
SHR,Agriculture
WRL,Urban Mainstream
NBL,Agriculture
DUD,Urban Mainstream
LBH,Public sector
SLK,Urban Mainstream
SWK,Public sector
DNC,Urban Mainstream
HIL,Urban Mainstream
NET,Public sector
RDB,Urban Mainstream
LEW,Urban Mainstream
SKP,Urban Mainstream
CBF,Urban Mainstream
BNH,Urban Mainstream
GRE,Urban Mainstream
BOL,Urban Mainstream
SGC,Urban Mainstream
WLL,Urban Mainstream
HCK,Urban Mainstream
CMD,Public sector
